a,aaa2b1
1,1112b1
b,bbb2b1
2,2222b1
c,ccc2b1
3,3332b1
a1,1a11b1
ab,babbb1
a2,2a22b1
ac,caccb1
a3,3a33b1
1a,a1aab1
1b,b1bbb1
12,2122b1
1c,c1ccb1
13,3133b1
ba,abaab1
b1,1b11b1
b2,2b22b1
bc,cbccb1
b3,3b33b1
2a,a2aab1
21,1211b1
2b,b2bbb1
2c,c2ccb1
23,3233b1
ca,acaab1
c1,1c11b1
cb,bcbbb1
c2,2c22b1
c3,3c33b1
3a,a3aab1
31,1311b1
3b,b3bbb1
32,2322b1
3c,c3ccb1
a1b,b1abb1
a12,21a221
a1c,c1acc1
a13,31a331
ab1,1ba111
ab2,2ba221
abc,cbacc1
ab3,3ba331
a21,12a111
a2b,b2abb1
a2c,c2acc1
a23,32a331
ac1,1ca111
acb,bcabb1
ac2,2ca221
ac3,3ca331
a31,13a111
a3b,b3abb1
a32,23a221
a3c,c3acc1
1ab,ba1bb1
1a2,2a1221
1ac,ca1cc1
1a3,3a1331
1ba,ab1aa1
1b2,2b1221
1bc,cb1cc1
1b3,3b1331
12a,a21aa1
12b,b21bb1
12c,c21cc1
123,321331
1ca,ac1aa1
1cb,bc1bb1
1c2,2c1221
1c3,3c1331
13a,a31aa1
13b,b31bb1
132,231221
13c,c31cc1
ba1,1ab111
ba2,2ab221
bac,cabcc1
ba3,3ab331
b1a,a1baa1
b12,21b221
b1c,c1bcc1
b13,31b331
b2a,a2baa1
b21,12b111
b2c,c2bcc1
b23,32b331
bca,acbaa1
bc1,1cb111
bc2,2cb221
bc3,3cb331
b3a,a3baa1
b31,13b111
b32,23b221
b3c,c3bcc1
2a1,1a2111
2ab,ba2bb1
2ac,ca2cc1
2a3,3a2331
21a,a12aa1
21b,b12bb1
21c,c12cc1
213,312331
2ba,ab2aa1
2b1,1b2111
2bc,cb2cc1
2b3,3b2331
2ca,ac2aa1
2c1,1c2111
2cb,bc2bb1
2c3,3c2331
23a,a32aa1
231,132111
23b,b32bb1
23c,c32cc1
ca1,1ac111
cab,bacbb1
ca2,2ac221
ca3,3ac331
c1a,a1caa1
c1b,b1cbb1
c12,21c221
c13,31c331
cba,abcaa1
cb1,1bc111
cb2,2bc221
cb3,3bc331
c2a,a2caa1
c21,12c111
c2b,b2cbb1
c23,32c331
c3a,a3caa1
c31,13c111
c3b,b3cbb1
c32,23c221
3a1,1a3111
3ab,ba3bb1
3a2,2a3221
3ac,ca3cc1
31a,a13aa1
31b,b13bb1
312,213221
31c,c13cc1
3ba,ab3aa1
3b1,1b3111
3b2,2b3221
3bc,cb3cc1
32a,a23aa1
321,123111
32b,b23bb1
32c,c23cc1
3ca,ac3aa1
3c1,1c3111
3cb,bc3bb1
3c2,2c3221
a1b2,2b1a22
a1bc,cb1acc
a1b3,3b1a33
a12b,b21abb
a12c,c21acc
a123,321a33
a1cb,bc1abb
a1c2,2c1a22
a1c3,3c1a33
a13b,b31abb
a132,231a22
a13c,c31acc
ab12,21ba22
ab1c,c1bacc
ab13,31ba33
ab21,12ba11
ab2c,c2bacc
ab23,32ba33
abc1,1cba11
abc2,2cba22
abc3,3cba33
ab31,13ba11
ab32,23ba22
ab3c,c3bacc
a21b,b12abb
a21c,c12acc
a213,312a33
a2b1,1b2a11
a2bc,cb2acc
a2b3,3b2a33
a2c1,1c2a11
a2cb,bc2abb
a2c3,3c2a33
a231,132a11
a23b,b32abb
a23c,c32acc
ac1b,b1cabb
ac12,21ca22
ac13,31ca33
acb1,1bca11
acb2,2bca22
acb3,3bca33
ac21,12ca11
ac2b,b2cabb
ac23,32ca33
ac31,13ca11
ac3b,b3cabb
ac32,23ca22
a31b,b13abb
a312,213a22
a31c,c13acc
a3b1,1b3a11
a3b2,2b3a22
a3bc,cb3acc
a321,123a11
a32b,b23abb
a32c,c23acc
a3c1,1c3a11
a3cb,bc3abb
a3c2,2c3a22
1ab2,2ba122
1abc,cba1cc
1ab3,3ba133
1a2b,b2a1bb
1a2c,c2a1cc
1a23,32a133
1acb,bca1bb
1ac2,2ca122
1ac3,3ca133
1a3b,b3a1bb
1a32,23a122
1a3c,c3a1cc
1ba2,2ab122
1bac,cab1cc
1ba3,3ab133
1b2a,a2b1aa
1b2c,c2b1cc
1b23,32b133
1bca,acb1aa
1bc2,2cb122
1bc3,3cb133
1b3a,a3b1aa
1b32,23b122
1b3c,c3b1cc
12ab,ba21bb
12ac,ca21cc
12a3,3a2133
12ba,ab21aa
12bc,cb21cc
12b3,3b2133
12ca,ac21aa
12cb,bc21bb
12c3,3c2133
123a,a321aa
123b,b321bb
123c,c321cc
1cab,bac1bb
1ca2,2ac122
1ca3,3ac133
1cba,abc1aa
1cb2,2bc122
1cb3,3bc133
1c2a,a2c1aa
1c2b,b2c1bb
1c23,32c133
1c3a,a3c1aa
1c3b,b3c1bb
1c32,23c122
13ab,ba31bb
13a2,2a3122
13ac,ca31cc
13ba,ab31aa
13b2,2b3122
13bc,cb31cc
132a,a231aa
132b,b231bb
132c,c231cc
13ca,ac31aa
13cb,bc31bb
13c2,2c3122
ba12,21ab22
ba1c,c1abcc
ba13,31ab33
ba21,12ab11
ba2c,c2abcc
ba23,32ab33
bac1,1cab11
bac2,2cab22
bac3,3cab33
ba31,13ab11
ba32,23ab22
ba3c,c3abcc
b1a2,2a1b22
b1ac,ca1bcc
b1a3,3a1b33
b12a,a21baa
b12c,c21bcc
b123,321b33
b1ca,ac1baa
b1c2,2c1b22
b1c3,3c1b33
b13a,a31baa
b132,231b22
b13c,c31bcc
b2a1,1a2b11
b2ac,ca2bcc
b2a3,3a2b33
b21a,a12baa
b21c,c12bcc
b213,312b33
b2ca,ac2baa
b2c1,1c2b11
b2c3,3c2b33
b23a,a32baa
b231,132b11
b23c,c32bcc
bca1,1acb11
bca2,2acb22
bca3,3acb33
bc1a,a1cbaa
bc12,21cb22
bc13,31cb33
bc2a,a2cbaa
bc21,12cb11
bc23,32cb33
bc3a,a3cbaa
bc31,13cb11
bc32,23cb22
b3a1,1a3b11
b3a2,2a3b22
b3ac,ca3bcc
b31a,a13baa
b312,213b22
b31c,c13bcc
b32a,a23baa
b321,123b11
b32c,c23bcc
b3ca,ac3baa
b3c1,1c3b11
b3c2,2c3b22
2a1b,b1a2bb
2a1c,c1a2cc
2a13,31a233
2ab1,1ba211
2abc,cba2cc
2ab3,3ba233
2ac1,1ca211
2acb,bca2bb
2ac3,3ca233
2a31,13a211
2a3b,b3a2bb
2a3c,c3a2cc
21ab,ba12bb
21ac,ca12cc
21a3,3a1233
21ba,ab12aa
21bc,cb12cc
21b3,3b1233
21ca,ac12aa
21cb,bc12bb
21c3,3c1233
213a,a312aa
213b,b312bb
213c,c312cc
2ba1,1ab211
2bac,cab2cc
2ba3,3ab233
2b1a,a1b2aa
2b1c,c1b2cc
2b13,31b233
2bca,acb2aa
2bc1,1cb211
2bc3,3cb233
2b3a,a3b2aa
2b31,13b211
2b3c,c3b2cc
2ca1,1ac211
2cab,bac2bb
2ca3,3ac233
2c1a,a1c2aa
2c1b,b1c2bb
2c13,31c233
2cba,abc2aa
2cb1,1bc211
2cb3,3bc233
2c3a,a3c2aa
2c31,13c211
2c3b,b3c2bb
23a1,1a3211
23ab,ba32bb
23ac,ca32cc
231a,a132aa
231b,b132bb
231c,c132cc
23ba,ab32aa
23b1,1b3211
23bc,cb32cc
23ca,ac32aa
23c1,1c3211
23cb,bc32bb
ca1b,b1acbb
