a,aaac2b1
1,111c2b1
b,bbbc2b1
2,222c2b1
c,cccc2b1
3,333c2b1
d,dddc2b1
a1,1a112b1
ab,babb2b1
a2,2a222b1
ac,cacc2b1
a3,3a332b1
ad,dadd2b1
1a,a1aa2b1
1b,b1bb2b1
12,21222b1
1c,c1cc2b1
13,31332b1
1d,d1dd2b1
ba,abaa2b1
b1,1b112b1
b2,2b222b1
bc,cbcc2b1
b3,3b332b1
bd,dbdd2b1
2a,a2aa2b1
21,12112b1
2b,b2bb2b1
2c,c2cc2b1
23,32332b1
2d,d2dd2b1
ca,acaa2b1
c1,1c112b1
cb,bcbb2b1
c2,2c222b1
c3,3c332b1
cd,dcdd2b1
3a,a3aa2b1
31,13112b1
3b,b3bb2b1
32,23222b1
3c,c3cc2b1
3d,d3dd2b1
da,adaa2b1
d1,1d112b1
db,bdbb2b1
d2,2d222b1
dc,cdcc2b1
d3,3d332b1
a1b,b1abbb1
a12,21a22b1
a1c,c1accb1
a13,31a33b1
a1d,d1addb1
ab1,1ba11b1
ab2,2ba22b1
abc,cbaccb1
ab3,3ba33b1
abd,dbaddb1
a21,12a11b1
a2b,b2abbb1
a2c,c2accb1
a23,32a33b1
a2d,d2addb1
ac1,1ca11b1
acb,bcabbb1
ac2,2ca22b1
ac3,3ca33b1
acd,dcaddb1
a31,13a11b1
a3b,b3abbb1
a32,23a22b1
a3c,c3accb1
a3d,d3addb1
ad1,1da11b1
adb,bdabbb1
ad2,2da22b1
adc,cdaccb1
ad3,3da33b1
1ab,ba1bbb1
1a2,2a122b1
1ac,ca1ccb1
1a3,3a133b1
1ad,da1ddb1
1ba,ab1aab1
1b2,2b122b1
1bc,cb1ccb1
1b3,3b133b1
1bd,db1ddb1
12a,a21aab1
12b,b21bbb1
12c,c21ccb1
123,32133b1
12d,d21ddb1
1ca,ac1aab1
1cb,bc1bbb1
1c2,2c122b1
1c3,3c133b1
1cd,dc1ddb1
13a,a31aab1
13b,b31bbb1
132,23122b1
13c,c31ccb1
13d,d31ddb1
1da,ad1aab1
1db,bd1bbb1
1d2,2d122b1
1dc,cd1ccb1
1d3,3d133b1
ba1,1ab11b1
ba2,2ab22b1
bac,cabccb1
ba3,3ab33b1
bad,dabddb1
b1a,a1baab1
b12,21b22b1
b1c,c1bccb1
b13,31b33b1
b1d,d1bddb1
b2a,a2baab1
b21,12b11b1
b2c,c2bccb1
b23,32b33b1
b2d,d2bddb1
bca,acbaab1
bc1,1cb11b1
bc2,2cb22b1
bc3,3cb33b1
bcd,dcbddb1
b3a,a3baab1
b31,13b11b1
b32,23b22b1
b3c,c3bccb1
b3d,d3bddb1
bda,adbaab1
bd1,1db11b1
bd2,2db22b1
bdc,cdbccb1
bd3,3db33b1
2a1,1a211b1
2ab,ba2bbb1
2ac,ca2ccb1
2a3,3a233b1
2ad,da2ddb1
21a,a12aab1
21b,b12bbb1
21c,c12ccb1
213,31233b1
21d,d12ddb1
2ba,ab2aab1
2b1,1b211b1
2bc,cb2ccb1
2b3,3b233b1
2bd,db2ddb1
2ca,ac2aab1
2c1,1c211b1
2cb,bc2bbb1
2c3,3c233b1
2cd,dc2ddb1
23a,a32aab1
231,13211b1
23b,b32bbb1
23c,c32ccb1
23d,d32ddb1
2da,ad2aab1
2d1,1d211b1
2db,bd2bbb1
2dc,cd2ccb1
2d3,3d233b1
ca1,1ac11b1
cab,bacbbb1
ca2,2ac22b1
ca3,3ac33b1
cad,dacddb1
c1a,a1caab1
c1b,b1cbbb1
c12,21c22b1
c13,31c33b1
c1d,d1cddb1
cba,abcaab1
cb1,1bc11b1
cb2,2bc22b1
cb3,3bc33b1
cbd,dbcddb1
c2a,a2caab1
c21,12c11b1
c2b,b2cbbb1
c23,32c33b1
c2d,d2cddb1
c3a,a3caab1
c31,13c11b1
c3b,b3cbbb1
c32,23c22b1
c3d,d3cddb1
cda,adcaab1
cd1,1dc11b1
cdb,bdcbbb1
cd2,2dc22b1
cd3,3dc33b1
3a1,1a311b1
3ab,ba3bbb1
3a2,2a322b1
3ac,ca3ccb1
3ad,da3ddb1
31a,a13aab1
31b,b13bbb1
312,21322b1
31c,c13ccb1
31d,d13ddb1
3ba,ab3aab1
3b1,1b311b1
3b2,2b322b1
3bc,cb3ccb1
3bd,db3ddb1
32a,a23aab1
321,12311b1
32b,b23bbb1
32c,c23ccb1
32d,d23ddb1
3ca,ac3aab1
3c1,1c311b1
3cb,bc3bbb1
3c2,2c322b1
3cd,dc3ddb1
3da,ad3aab1
3d1,1d311b1
3db,bd3bbb1
3d2,2d322b1
3dc,cd3ccb1
da1,1ad11b1
dab,badbbb1
da2,2ad22b1
dac,cadccb1
da3,3ad33b1
d1a,a1daab1
d1b,b1dbbb1
d12,21d22b1
d1c,c1dccb1
d13,31d33b1
dba,abdaab1
db1,1bd11b1
db2,2bd22b1
dbc,cbdccb1
db3,3bd33b1
d2a,a2daab1
d21,12d11b1
d2b,b2dbbb1
d2c,c2dccb1
d23,32d33b1
dca,acdaab1
dc1,1cd11b1
dcb,bcdbbb1
dc2,2cd22b1
dc3,3cd33b1
d3a,a3daab1
d31,13d11b1
d3b,b3dbbb1
d32,23d22b1
d3c,c3dccb1
a1b2,2b1a221
a1bc,cb1acc1
a1b3,3b1a331
a1bd,db1add1
a12b,b21abb1
a12c,c21acc1
a123,321a331
a12d,d21add1
a1cb,bc1abb1
a1c2,2c1a221
a1c3,3c1a331
