a,aaa3c2b1
1,1113c2b1
b,bbb3c2b1
2,2223c2b1
c,ccc3c2b1
3,3333c2b1
d,ddd3c2b1
4,4443c2b1
a1,1a11c2b1
ab,babbc2b1
a2,2a22c2b1
ac,caccc2b1
a3,3a33c2b1
ad,daddc2b1
a4,4a44c2b1
1a,a1aac2b1
1b,b1bbc2b1
12,2122c2b1
1c,c1ccc2b1
13,3133c2b1
1d,d1ddc2b1
14,4144c2b1
ba,abaac2b1
b1,1b11c2b1
b2,2b22c2b1
bc,cbccc2b1
b3,3b33c2b1
bd,dbddc2b1
b4,4b44c2b1
2a,a2aac2b1
21,1211c2b1
2b,b2bbc2b1
2c,c2ccc2b1
23,3233c2b1
2d,d2ddc2b1
24,4244c2b1
ca,acaac2b1
c1,1c11c2b1
cb,bcbbc2b1
c2,2c22c2b1
c3,3c33c2b1
cd,dcddc2b1
c4,4c44c2b1
3a,a3aac2b1
31,1311c2b1
3b,b3bbc2b1
32,2322c2b1
3c,c3ccc2b1
3d,d3ddc2b1
34,4344c2b1
da,adaac2b1
d1,1d11c2b1
db,bdbbc2b1
d2,2d22c2b1
dc,cdccc2b1
d3,3d33c2b1
d4,4d44c2b1
4a,a4aac2b1
41,1411c2b1
4b,b4bbc2b1
42,2422c2b1
4c,c4ccc2b1
43,3433c2b1
4d,d4ddc2b1
a1b,b1abb2b1
a12,21a222b1
a1c,c1acc2b1
a13,31a332b1
a1d,d1add2b1
a14,41a442b1
ab1,1ba112b1
ab2,2ba222b1
abc,cbacc2b1
ab3,3ba332b1
abd,dbadd2b1
ab4,4ba442b1
a21,12a112b1
a2b,b2abb2b1
a2c,c2acc2b1
a23,32a332b1
a2d,d2add2b1
a24,42a442b1
ac1,1ca112b1
acb,bcabb2b1
ac2,2ca222b1
ac3,3ca332b1
acd,dcadd2b1
ac4,4ca442b1
a31,13a112b1
a3b,b3abb2b1
a32,23a222b1
a3c,c3acc2b1
a3d,d3add2b1
a34,43a442b1
ad1,1da112b1
adb,bdabb2b1
ad2,2da222b1
adc,cdacc2b1
ad3,3da332b1
ad4,4da442b1
a41,14a112b1
a4b,b4abb2b1
a42,24a222b1
a4c,c4acc2b1
a43,34a332b1
a4d,d4add2b1
1ab,ba1bb2b1
1a2,2a1222b1
1ac,ca1cc2b1
1a3,3a1332b1
1ad,da1dd2b1
1a4,4a1442b1
1ba,ab1aa2b1
1b2,2b1222b1
1bc,cb1cc2b1
1b3,3b1332b1
1bd,db1dd2b1
1b4,4b1442b1
12a,a21aa2b1
12b,b21bb2b1
12c,c21cc2b1
123,321332b1
12d,d21dd2b1
124,421442b1
1ca,ac1aa2b1
1cb,bc1bb2b1
1c2,2c1222b1
1c3,3c1332b1
1cd,dc1dd2b1
1c4,4c1442b1
13a,a31aa2b1
13b,b31bb2b1
132,231222b1
13c,c31cc2b1
13d,d31dd2b1
134,431442b1
1da,ad1aa2b1
1db,bd1bb2b1
1d2,2d1222b1
1dc,cd1cc2b1
1d3,3d1332b1
1d4,4d1442b1
14a,a41aa2b1
14b,b41bb2b1
142,241222b1
14c,c41cc2b1
143,341332b1
14d,d41dd2b1
ba1,1ab112b1
ba2,2ab222b1
bac,cabcc2b1
ba3,3ab332b1
bad,dabdd2b1
ba4,4ab442b1
b1a,a1baa2b1
b12,21b222b1
b1c,c1bcc2b1
b13,31b332b1
b1d,d1bdd2b1
b14,41b442b1
b2a,a2baa2b1
b21,12b112b1
b2c,c2bcc2b1
b23,32b332b1
b2d,d2bdd2b1
b24,42b442b1
bca,acbaa2b1
bc1,1cb112b1
bc2,2cb222b1
bc3,3cb332b1
bcd,dcbdd2b1
bc4,4cb442b1
b3a,a3baa2b1
b31,13b112b1
b32,23b222b1
b3c,c3bcc2b1
b3d,d3bdd2b1
b34,43b442b1
bda,adbaa2b1
bd1,1db112b1
bd2,2db222b1
bdc,cdbcc2b1
bd3,3db332b1
bd4,4db442b1
b4a,a4baa2b1
b41,14b112b1
b42,24b222b1
b4c,c4bcc2b1
b43,34b332b1
b4d,d4bdd2b1
2a1,1a2112b1
2ab,ba2bb2b1
2ac,ca2cc2b1
2a3,3a2332b1
2ad,da2dd2b1
2a4,4a2442b1
21a,a12aa2b1
21b,b12bb2b1
21c,c12cc2b1
213,312332b1
21d,d12dd2b1
214,412442b1
2ba,ab2aa2b1
2b1,1b2112b1
2bc,cb2cc2b1
2b3,3b2332b1
2bd,db2dd2b1
2b4,4b2442b1
2ca,ac2aa2b1
2c1,1c2112b1
2cb,bc2bb2b1
2c3,3c2332b1
2cd,dc2dd2b1
2c4,4c2442b1
23a,a32aa2b1
231,132112b1
23b,b32bb2b1
23c,c32cc2b1
23d,d32dd2b1
234,432442b1
2da,ad2aa2b1
2d1,1d2112b1
2db,bd2bb2b1
2dc,cd2cc2b1
2d3,3d2332b1
2d4,4d2442b1
24a,a42aa2b1
241,142112b1
24b,b42bb2b1
24c,c42cc2b1
243,342332b1
24d,d42dd2b1
ca1,1ac112b1
cab,bacbb2b1
ca2,2ac222b1
ca3,3ac332b1
cad,dacdd2b1
ca4,4ac442b1
c1a,a1caa2b1
c1b,b1cbb2b1
c12,21c222b1
c13,31c332b1
c1d,d1cdd2b1
c14,41c442b1
cba,abcaa2b1
cb1,1bc112b1
cb2,2bc222b1
cb3,3bc332b1
cbd,dbcdd2b1
cb4,4bc442b1
c2a,a2caa2b1
c21,12c112b1
c2b,b2cbb2b1
c23,32c332b1
c2d,d2cdd2b1
c24,42c442b1
c3a,a3caa2b1
c31,13c112b1
c3b,b3cbb2b1
c32,23c222b1
c3d,d3cdd2b1
c34,43c442b1
cda,adcaa2b1
cd1,1dc112b1
cdb,bdcbb2b1
cd2,2dc222b1
cd3,3dc332b1
cd4,4dc442b1
c4a,a4caa2b1
c41,14c112b1
c4b,b4cbb2b1
c42,24c222b1
c43,34c332b1
c4d,d4cdd2b1
3a1,1a3112b1
3ab,ba3bb2b1
3a2,2a3222b1
3ac,ca3cc2b1
3ad,da3dd2b1
3a4,4a3442b1
31a,a13aa2b1
31b,b13bb2b1
312,213222b1
31c,c13cc2b1
31d,d13dd2b1
314,413442b1
3ba,ab3aa2b1
3b1,1b3112b1
3b2,2b3222b1
3bc,cb3cc2b1
3bd,db3dd2b1
3b4,4b3442b1
32a,a23aa2b1
321,123112b1
32b,b23bb2b1
32c,c23cc2b1
32d,d23dd2b1
324,423442b1
3ca,ac3aa2b1
3c1,1c3112b1
3cb,bc3bb2b1
3c2,2c3222b1
3cd,dc3dd2b1
3c4,4c3442b1
3da,ad3aa2b1
3d1,1d3112b1
3db,bd3bb2b1
3d2,2d3222b1
3dc,cd3cc2b1
3d4,4d3442b1
34a,a43aa2b1
341,143112b1
34b,b43bb2b1
342,243222b1
34c,c43cc2b1
34d,d43dd2b1
da1,1ad112b1
dab,badbb2b1
da2,2ad222b1
dac,cadcc2b1
da3,3ad332b1
da4,4ad442b1
d1a,a1daa2b1
d1b,b1dbb2b1
d12,21d222b1
d1c,c1dcc2b1
d13,31d332b1
d14,41d442b1
dba,abdaa2b1
db1,1bd112b1
db2,2bd222b1
dbc,cbdcc2b1
db3,3bd332b1
db4,4bd442b1
d2a,a2daa2b1
d21,12d112b1
d2b,b2dbb2b1
d2c,c2dcc2b1
d23,32d332b1
d24,42d442b1
dca,acdaa2b1
dc1,1cd112b1
dcb,bcdbb2b1
dc2,2cd222b1
dc3,3cd332b1
dc4,4cd442b1
d3a,a3daa2b1
d31,13d112b1
d3b,b3dbb2b1
d32,23d222b1
d3c,c3dcc2b1
d34,43d442b1
d4a,a4daa2b1
d41,14d112b1
d4b,b4dbb2b1
d42,24d222b1
d4c,c4dcc2b1
d43,34d332b1
4a1,1a4112b1
4ab,ba4bb2b1
4a2,2a4222b1
4ac,ca4cc2b1
4a3,3a4332b1
4ad,da4dd2b1
41a,a14aa2b1
41b,b14bb2b1
412,214222b1
41c,c14cc2b1
413,314332b1
41d,d14dd2b1
4ba,ab4aa2b1
4b1,1b4112b1
4b2,2b4222b1
4bc,cb4cc2b1
4b3,3b4332b1
4bd,db4dd2b1
42a,a24aa2b1
421,124112b1
42b,b24bb2b1
42c,c24cc2b1
423,324332b1
42d,d24dd2b1
4ca,ac4aa2b1
4c1,1c4112b1
4cb,bc4bb2b1
4c2,2c4222b1
4c3,3c4332b1
4cd,dc4dd2b1
43a,a34aa2b1
431,134112b1
43b,b34bb2b1
432,234222b1
43c,c34cc2b1
43d,d34dd2b1
4da,ad4aa2b1
4d1,1d4112b1
4db,bd4bb2b1
4d2,2d4222b1
4dc,cd4cc2b1
4d3,3d4332b1
a1b2,2b1a22b1
a1bc,cb1accb1
a1b3,3b1a33b1
a1bd,db1addb1
a1b4,4b1a44b1
a12b,b21abbb1
a12c,c21accb1
a123,321a33b1
a12d,d21addb1
a124,421a44b1
a1cb,bc1abbb1
a1c2,2c1a22b1
a1c3,3c1a33b1
a1cd,dc1addb1
a1c4,4c1a44b1
a13b,b31abbb1
a132,231a22b1
a13c,c31accb1
a13d,d31addb1
a134,431a44b1
a1db,bd1abbb1
a1d2,2d1a22b1
a1dc,cd1accb1
a1d3,3d1a33b1
a1d4,4d1a44b1
a14b,b41abbb1
a142,241a22b1
a14c,c41accb1
a143,341a33b1
a14d,d41addb1
ab12,21ba22b1
ab1c,c1baccb1
ab13,31ba33b1
ab1d,d1baddb1
ab14,41ba44b1
ab21,12ba11b1
ab2c,c2baccb1
ab23,32ba33b1
ab2d,d2baddb1
ab24,42ba44b1
abc1,1cba11b1
abc2,2cba22b1
abc3,3cba33b1
abcd,dcbaddb1
abc4,4cba44b1
ab31,13ba11b1
ab32,23ba22b1
ab3c,c3baccb1
ab3d,d3baddb1
ab34,43ba44b1
abd1,1dba11b1
abd2,2dba22b1
abdc,cdbaccb1
abd3,3dba33b1
abd4,4dba44b1
ab41,14ba11b1
ab42,24ba22b1
ab4c,c4baccb1
ab43,34ba33b1
ab4d,d4baddb1
a21b,b12abbb1
a21c,c12accb1
a213,312a33b1
a21d,d12addb1
a214,412a44b1
a2b1,1b2a11b1
a2bc,cb2accb1
a2b3,3b2a33b1
a2bd,db2addb1
a2b4,4b2a44b1
a2c1,1c2a11b1
a2cb,bc2abbb1
a2c3,3c2a33b1
a2cd,dc2addb1
a2c4,4c2a44b1
a231,132a11b1
a23b,b32abbb1
a23c,c32accb1
a23d,d32addb1
a234,432a44b1
a2d1,1d2a11b1
a2db,bd2abbb1
a2dc,cd2accb1
a2d3,3d2a33b1
a2d4,4d2a44b1
a241,142a11b1
a24b,b42abbb1
a24c,c42accb1
a243,342a33b1
a24d,d42addb1
ac1b,b1cabbb1
ac12,21ca22b1
ac13,31ca33b1
ac1d,d1caddb1
ac14,41ca44b1
acb1,1bca11b1
acb2,2bca22b1
acb3,3bca33b1
acbd,dbcaddb1
acb4,4bca44b1
ac21,12ca11b1
ac2b,b2cabbb1
ac23,32ca33b1
ac2d,d2caddb1
ac24,42ca44b1
ac31,13ca11b1
ac3b,b3cabbb1
ac32,23ca22b1
ac3d,d3caddb1
ac34,43ca44b1
acd1,1dca11b1
acdb,bdcabbb1
acd2,2dca22b1
acd3,3dca33b1
acd4,4dca44b1
ac41,14ca11b1
ac4b,b4cabbb1
ac42,24ca22b1
ac43,34ca33b1
ac4d,d4caddb1
a31b,b13abbb1
a312,213a22b1
a31c,c13accb1
a31d,d13addb1
a314,413a44b1
a3b1,1b3a11b1
a3b2,2b3a22b1
a3bc,cb3accb1
a3bd,db3addb1
a3b4,4b3a44b1
a321,123a11b1
a32b,b23abbb1
a32c,c23accb1
a32d,d23addb1
a324,423a44b1
a3c1,1c3a11b1
a3cb,bc3abbb1
a3c2,2c3a22b1
a3cd,dc3addb1
a3c4,4c3a44b1
a3d1,1d3a11b1
a3db,bd3abbb1
a3d2,2d3a22b1
a3dc,cd3accb1
a3d4,4d3a44b1
a341,143a11b1
a34b,b43abbb1
a342,243a22b1
a34c,c43accb1
a34d,d43addb1
ad1b,b1dabbb1
ad12,21da22b1
ad1c,c1daccb1
ad13,31da33b1
ad14,41da44b1
adb1,1bda11b1
adb2,2bda22b1
adbc,cbdaccb1
adb3,3bda33b1
adb4,4bda44b1
ad21,12da11b1
ad2b,b2dabbb1
ad2c,c2daccb1
ad23,32da33b1
ad24,42da44b1
adc1,1cda11b1
adcb,bcdabbb1
adc2,2cda22b1
adc3,3cda33b1
adc4,4cda44b1
ad31,13da11b1
ad3b,b3dabbb1
ad32,23da22b1
ad3c,c3daccb1
ad34,43da44b1
ad41,14da11b1
ad4b,b4dabbb1
ad42,24da22b1
