a,aaadcb
b,bbbdcb
c,cccdcb
d,ddddcb
e,eeedcb
f,fffdcb
ab,babbcb
ac,cacccb
ad,daddcb
ae,eaeecb
af,faffcb
ba,abaacb
bc,cbcccb
bd,dbddcb
be,ebeecb
bf,fbffcb
ca,acaacb
cb,bcbbcb
cd,dcddcb
ce,eceecb
cf,fcffcb
da,adaacb
db,bdbbcb
dc,cdcccb
de,edeecb
df,fdffcb
ea,aeaacb
eb,bebbcb
ec,cecccb
ed,deddcb
ef,feffcb
fa,afaacb
fb,bfbbcb
fc,cfcccb
fd,dfddcb
fe,efeecb
abc,cbaccb
abd,dbaddb
abe,ebaeeb
abf,fbaffb
acb,bcabbb
acd,dcaddb
ace,ecaeeb
acf,fcaffb
adb,bdabbb
adc,cdaccb
ade,edaeeb
adf,fdaffb
aeb,beabbb
aec,ceaccb
aed,deaddb
aef,feaffb
afb,bfabbb
afc,cfaccb
afd,dfaddb
afe,efaeeb
bac,cabccb
bad,dabddb
bae,eabeeb
baf,fabffb
bca,acbaab
bcd,dcbddb
bce,ecbeeb
bcf,fcbffb
bda,adbaab
bdc,cdbccb
bde,edbeeb
bdf,fdbffb
bea,aebaab
bec,cebccb
bed,debddb
bef,febffb
bfa,afbaab
bfc,cfbccb
bfd,dfbddb
bfe,efbeeb
cab,bacbbb
cad,dacddb
cae,eaceeb
caf,facffb
cba,abcaab
cbd,dbcddb
cbe,ebceeb
cbf,fbcffb
cda,adcaab
cdb,bdcbbb
cde,edceeb
cdf,fdcffb
cea,aecaab
ceb,becbbb
ced,decddb
cef,fecffb
cfa,afcaab
cfb,bfcbbb
cfd,dfcddb
cfe,efceeb
dab,badbbb
dac,cadccb
dae,eadeeb
daf,fadffb
dba,abdaab
dbc,cbdccb
dbe,ebdeeb
dbf,fbdffb
dca,acdaab
dcb,bcdbbb
dce,ecdeeb
dcf,fcdffb
dea,aedaab
deb,bedbbb
dec,cedccb
def,fedffb
dfa,afdaab
dfb,bfdbbb
dfc,cfdccb
dfe,efdeeb
eab,baebbb
eac,caeccb
ead,daeddb
eaf,faeffb
eba,abeaab
ebc,cbeccb
ebd,dbeddb
ebf,fbeffb
eca,aceaab
ecb,bcebbb
ecd,dceddb
ecf,fceffb
eda,adeaab
edb,bdebbb
edc,cdeccb
edf,fdeffb
efa,afeaab
efb,bfebbb
efc,cfeccb
efd,dfeddb
fab,bafbbb
fac,cafccb
fad,dafddb
fae,eafeeb
fba,abfaab
fbc,cbfccb
fbd,dbfddb
fbe,ebfeeb
fca,acfaab
fcb,bcfbbb
fcd,dcfddb
fce,ecfeeb
fda,adfaab
fdb,bdfbbb
fdc,cdfccb
fde,edfeeb
fea,aefaab
feb,befbbb
fec,cefccb
fed,defddb
abcd,dcbadd
abce,ecbaee
abcf,fcbaff
abdc,cdbacc
abde,edbaee
abdf,fdbaff
abec,cebacc
abed,debadd
abef,febaff
abfc,cfbacc
abfd,dfbadd
abfe,efbaee
acbd,dbcadd
acbe,ebcaee
acbf,fbcaff
acdb,bdcabb
acde,edcaee
acdf,fdcaff
aceb,becabb
aced,decadd
acef,fecaff
acfb,bfcabb
acfd,dfcadd
acfe,efcaee
adbc,cbdacc
adbe,ebdaee
adbf,fbdaff
adcb,bcdabb
adce,ecdaee
adcf,fcdaff
adeb,bedabb
adec,cedacc
adef,fedaff
adfb,bfdabb
adfc,cfdacc
adfe,efdaee
aebc,cbeacc
aebd,dbeadd
aebf,fbeaff
aecb,bceabb
aecd,dceadd
aecf,fceaff
aedb,bdeabb
aedc,cdeacc
aedf,fdeaff
aefb,bfeabb
aefc,cfeacc
aefd,dfeadd
afbc,cbfacc
afbd,dbfadd
afbe,ebfaee
afcb,bcfabb
afcd,dcfadd
afce,ecfaee
afdb,bdfabb
afdc,cdfacc
afde,edfaee
afeb,befabb
afec,cefacc
afed,defadd
bacd,dcabdd
bace,ecabee
bacf,fcabff
badc,cdabcc
bade,edabee
badf,fdabff
baec,ceabcc
baed,deabdd
baef,feabff
bafc,cfabcc
bafd,dfabdd
bafe,efabee
bcad,dacbdd
bcae,eacbee
bcaf,facbff
bcda,adcbaa
bcde,edcbee
bcdf,fdcbff
bcea,aecbaa
bced,decbdd
bcef,fecbff
bcfa,afcbaa
bcfd,dfcbdd
bcfe,efcbee
bdac,cadbcc
bdae,eadbee
bdaf,fadbff
bdca,acdbaa
bdce,ecdbee
bdcf,fcdbff
bdea,aedbaa
bdec,cedbcc
bdef,fedbff
bdfa,afdbaa
bdfc,cfdbcc
bdfe,efdbee
beac,caebcc
bead,daebdd
beaf,faebff
beca,acebaa
becd,dcebdd
becf,fcebff
beda,adebaa
bedc,cdebcc
bedf,fdebff
befa,afebaa
befc,cfebcc
befd,dfebdd
bfac,cafbcc
bfad,dafbdd
bfae,eafbee
bfca,acfbaa
bfcd,dcfbdd
bfce,ecfbee
bfda,adfbaa
bfdc,cdfbcc
bfde,edfbee
bfea,aefbaa
bfec,cefbcc
bfed,defbdd
cabd,dbacdd
cabe,ebacee
cabf,fbacff
cadb,bdacbb
cade,edacee
cadf,fdacff
caeb,beacbb
caed,deacdd
caef,feacff
cafb,bfacbb
cafd,dfacdd
cafe,efacee
cbad,dabcdd
cbae,eabcee
cbaf,fabcff
cbda,adbcaa
cbde,edbcee
cbdf,fdbcff
cbea,aebcaa
cbed,debcdd
cbef,febcff
cbfa,afbcaa
cbfd,dfbcdd
cbfe,efbcee
cdab,badcbb
cdae,eadcee
cdaf,fadcff
cdba,abdcaa
cdbe,ebdcee
cdbf,fbdcff
cdea,aedcaa
cdeb,bedcbb
cdef,fedcff
cdfa,afdcaa
cdfb,bfdcbb
cdfe,efdcee
ceab,baecbb
cead,daecdd
ceaf,faecff
ceba,abecaa
cebd,dbecdd
cebf,fbecff
ceda,adecaa
cedb,bdecbb
cedf,fdecff
cefa,afecaa
cefb,bfecbb
cefd,dfecdd
cfab,bafcbb
cfad,dafcdd
cfae,eafcee
