a,aaaedcb
b,bbbedcb
c,cccedcb
d,dddedcb
e,eeeedcb
f,fffedcb
g,gggedcb
ab,babbdcb
ac,caccdcb
ad,dadddcb
ae,eaeedcb
af,faffdcb
ag,gaggdcb
ba,abaadcb
bc,cbccdcb
bd,dbdddcb
be,ebeedcb
bf,fbffdcb
bg,gbggdcb
ca,acaadcb
cb,bcbbdcb
cd,dcdddcb
ce,eceedcb
cf,fcffdcb
cg,gcggdcb
da,adaadcb
db,bdbbdcb
dc,cdccdcb
de,edeedcb
df,fdffdcb
dg,gdggdcb
ea,aeaadcb
eb,bebbdcb
ec,ceccdcb
ed,dedddcb
ef,feffdcb
eg,geggdcb
fa,afaadcb
fb,bfbbdcb
fc,cfccdcb
fd,dfdddcb
fe,efeedcb
fg,gfggdcb
ga,agaadcb
gb,bgbbdcb
gc,cgccdcb
gd,dgdddcb
ge,egeedcb
gf,fgffdcb
abc,cbacccb
abd,dbaddcb
abe,ebaeecb
abf,fbaffcb
abg,gbaggcb
acb,bcabbcb
acd,dcaddcb
ace,ecaeecb
acf,fcaffcb
acg,gcaggcb
adb,bdabbcb
adc,cdacccb
ade,edaeecb
adf,fdaffcb
adg,gdaggcb
aeb,beabbcb
aec,ceacccb
aed,deaddcb
aef,feaffcb
aeg,geaggcb
afb,bfabbcb
afc,cfacccb
afd,dfaddcb
afe,efaeecb
afg,gfaggcb
agb,bgabbcb
agc,cgacccb
agd,dgaddcb
age,egaeecb
agf,fgaffcb
bac,cabcccb
bad,dabddcb
bae,eabeecb
baf,fabffcb
bag,gabggcb
bca,acbaacb
bcd,dcbddcb
bce,ecbeecb
bcf,fcbffcb
bcg,gcbggcb
bda,adbaacb
bdc,cdbcccb
bde,edbeecb
bdf,fdbffcb
bdg,gdbggcb
bea,aebaacb
bec,cebcccb
bed,debddcb
bef,febffcb
beg,gebggcb
bfa,afbaacb
bfc,cfbcccb
bfd,dfbddcb
bfe,efbeecb
bfg,gfbggcb
bga,agbaacb
bgc,cgbcccb
bgd,dgbddcb
bge,egbeecb
bgf,fgbffcb
cab,bacbbcb
cad,dacddcb
cae,eaceecb
caf,facffcb
cag,gacggcb
cba,abcaacb
cbd,dbcddcb
cbe,ebceecb
cbf,fbcffcb
cbg,gbcggcb
cda,adcaacb
cdb,bdcbbcb
cde,edceecb
cdf,fdcffcb
cdg,gdcggcb
cea,aecaacb
ceb,becbbcb
ced,decddcb
cef,fecffcb
ceg,gecggcb
cfa,afcaacb
cfb,bfcbbcb
cfd,dfcddcb
cfe,efceecb
cfg,gfcggcb
cga,agcaacb
cgb,bgcbbcb
cgd,dgcddcb
cge,egceecb
cgf,fgcffcb
dab,badbbcb
dac,cadcccb
dae,eadeecb
daf,fadffcb
dag,gadggcb
dba,abdaacb
dbc,cbdcccb
dbe,ebdeecb
dbf,fbdffcb
dbg,gbdggcb
dca,acdaacb
dcb,bcdbbcb
dce,ecdeecb
dcf,fcdffcb
dcg,gcdggcb
dea,aedaacb
deb,bedbbcb
dec,cedcccb
def,fedffcb
deg,gedggcb
dfa,afdaacb
dfb,bfdbbcb
dfc,cfdcccb
dfe,efdeecb
dfg,gfdggcb
dga,agdaacb
dgb,bgdbbcb
dgc,cgdcccb
dge,egdeecb
dgf,fgdffcb
eab,baebbcb
eac,caecccb
ead,daeddcb
eaf,faeffcb
eag,gaeggcb
eba,abeaacb
ebc,cbecccb
ebd,dbeddcb
ebf,fbeffcb
ebg,gbeggcb
eca,aceaacb
ecb,bcebbcb
ecd,dceddcb
ecf,fceffcb
ecg,gceggcb
eda,adeaacb
edb,bdebbcb
edc,cdecccb
edf,fdeffcb
edg,gdeggcb
efa,afeaacb
efb,bfebbcb
efc,cfecccb
efd,dfeddcb
efg,gfeggcb
ega,ageaacb
egb,bgebbcb
egc,cgecccb
egd,dgeddcb
