a,aaafedcb
b,bbbfedcb
c,cccfedcb
d,dddfedcb
e,eeefedcb
f,ffffedcb
g,gggfedcb
h,hhhfedcb
ab,babbedcb
ac,caccedcb
ad,daddedcb
ae,eaeeedcb
af,faffedcb
ag,gaggedcb
ah,hahhedcb
ba,abaaedcb
bc,cbccedcb
bd,dbddedcb
be,ebeeedcb
bf,fbffedcb
bg,gbggedcb
bh,hbhhedcb
ca,acaaedcb
cb,bcbbedcb
cd,dcddedcb
ce,eceeedcb
cf,fcffedcb
cg,gcggedcb
ch,hchhedcb
da,adaaedcb
db,bdbbedcb
dc,cdccedcb
de,edeeedcb
df,fdffedcb
dg,gdggedcb
dh,hdhhedcb
ea,aeaaedcb
eb,bebbedcb
ec,ceccedcb
ed,deddedcb
ef,feffedcb
eg,geggedcb
eh,hehhedcb
fa,afaaedcb
fb,bfbbedcb
fc,cfccedcb
fd,dfddedcb
fe,efeeedcb
fg,gfggedcb
fh,hfhhedcb
ga,agaaedcb
gb,bgbbedcb
gc,cgccedcb
gd,dgddedcb
ge,egeeedcb
gf,fgffedcb
gh,hghhedcb
ha,ahaaedcb
hb,bhbbedcb
hc,chccedcb
hd,dhddedcb
he,eheeedcb
hf,fhffedcb
hg,ghggedcb
abc,cbaccdcb
abd,dbadddcb
abe,ebaeedcb
abf,fbaffdcb
abg,gbaggdcb
abh,hbahhdcb
acb,bcabbdcb
acd,dcadddcb
ace,ecaeedcb
acf,fcaffdcb
acg,gcaggdcb
ach,hcahhdcb
adb,bdabbdcb
adc,cdaccdcb
ade,edaeedcb
adf,fdaffdcb
adg,gdaggdcb
adh,hdahhdcb
aeb,beabbdcb
aec,ceaccdcb
aed,deadddcb
aef,feaffdcb
aeg,geaggdcb
aeh,heahhdcb
afb,bfabbdcb
afc,cfaccdcb
afd,dfadddcb
afe,efaeedcb
afg,gfaggdcb
afh,hfahhdcb
agb,bgabbdcb
agc,cgaccdcb
agd,dgadddcb
age,egaeedcb
agf,fgaffdcb
agh,hgahhdcb
ahb,bhabbdcb
ahc,chaccdcb
ahd,dhadddcb
ahe,ehaeedcb
ahf,fhaffdcb
ahg,ghaggdcb
bac,cabccdcb
bad,dabdddcb
bae,eabeedcb
baf,fabffdcb
bag,gabggdcb
bah,habhhdcb
bca,acbaadcb
bcd,dcbdddcb
bce,ecbeedcb
bcf,fcbffdcb
bcg,gcbggdcb
bch,hcbhhdcb
bda,adbaadcb
bdc,cdbccdcb
bde,edbeedcb
bdf,fdbffdcb
bdg,gdbggdcb
bdh,hdbhhdcb
bea,aebaadcb
bec,cebccdcb
bed,debdddcb
bef,febffdcb
beg,gebggdcb
beh,hebhhdcb
bfa,afbaadcb
bfc,cfbccdcb
bfd,dfbdddcb
bfe,efbeedcb
bfg,gfbggdcb
bfh,hfbhhdcb
bga,agbaadcb
bgc,cgbccdcb
bgd,dgbdddcb
bge,egbeedcb
bgf,fgbffdcb
bgh,hgbhhdcb
bha,ahbaadcb
bhc,chbccdcb
bhd,dhbdddcb
bhe,ehbeedcb
bhf,fhbffdcb
bhg,ghbggdcb
cab,bacbbdcb
cad,dacdddcb
cae,eaceedcb
caf,facffdcb
cag,gacggdcb
cah,hachhdcb
cba,abcaadcb
cbd,dbcdddcb
cbe,ebceedcb
cbf,fbcffdcb
cbg,gbcggdcb
cbh,hbchhdcb
cda,adcaadcb
cdb,bdcbbdcb
cde,edceedcb
cdf,fdcffdcb
cdg,gdcggdcb
cdh,hdchhdcb
cea,aecaadcb
ceb,becbbdcb
ced,decdddcb
cef,fecffdcb
ceg,gecggdcb
ceh,hechhdcb
cfa,afcaadcb
cfb,bfcbbdcb
cfd,dfcdddcb
cfe,efceedcb
cfg,gfcggdcb
cfh,hfchhdcb
cga,agcaadcb
cgb,bgcbbdcb
cgd,dgcdddcb
cge,egceedcb
cgf,fgcffdcb
cgh,hgchhdcb
cha,ahcaadcb
chb,bhcbbdcb
chd,dhcdddcb
che,ehceedcb
chf,fhcffdcb
chg,ghcggdcb
dab,badbbdcb
dac,cadccdcb
dae,eadeedcb
daf,fadffdcb
dag,gadggdcb
dah,hadhhdcb
dba,abdaadcb
dbc,cbdccdcb
dbe,ebdeedcb
dbf,fbdffdcb
dbg,gbdggdcb
dbh,hbdhhdcb
dca,acdaadcb
dcb,bcdbbdcb
